"name","artist","spotifyId"
"American Money","BØRNS","4AewKenHXKBt643p473xCk"
"The Plural of Moose Is Moose","National Parks","4SUZfUcQ72Z0Tu2jmiMO9W"
"Painting (Masterpiece)","Lewis Del Mar","4kK14radw0XfwxJDPt9tnP"
"Fail!","Rainbow Kitten Surprise","7HjkzXqYzUiz0gkjM0Wmkk"
"Do You Remember","St. Lucia","6zQi4pXXw5N1fC0nfZoqSF"
"I Don't Mind","The Head And The Heart","4BNBfgSjKSVTagFBvtst7s"
"New Religion","The Heydaze","4DZghpw50ZnO3ckfDuNkft"
"Used To","Mutemath","2YCi9lbn6SErTcNExuyrpK"
"2 / 14","The Band CAMINO","5sCvipEhpAhVhu3K6kzm1P"
"City","ADHDS","3oorif6IxWNSNSGNPE7Oi8"
"Born Again","Saint Motel","7qdgz117gc5StS0u2ViinE"
"Give It Time","Wrabel","7LBIouuuhZgo9214Ylb58O"
"Bad Times","Ra Ra Riot","4J682aK0qc8TpTrZWojw4h"
"Circles","BABE","3Y2FNsRMqE4vGxxzNPLcWj"
"Telescope","Cage The Elephant","0tkBOcK7oRVXQJY97zzSvr"
"Bad Times","Ra Ra Riot","3BjNSJo4hsA7c767nVjBRL"
"You & I","Colony House","7yhNr2wj7mZcpRG5K2Zgj6"
"Traveling at the Speed of Light","Joywave","5zZOhHw2p7VLPau3A29hJw"
"Step","Vampire Weekend","78J9MBkAoqfvyeEpQKJDzD"
"Balsa Wood Bones","Saint Motel","549129dOH5XJQhIu39akdX"
"For Elise","Saint Motel","6i40XRqEwHAnSxwZWasMRp"
"Adderall","Max Frost","4Xx0J00u90QvnG3rwz4Itp"
"Animals","Coast Modern","7LhLS1B6KSwg3ODV2gUAlO"
"Even In My Dreams, I Can't Win","Bad Suns","6Wxj0FQMAJXOWgRbyFP5f8"
"Genghis Khan","Miike Snow","6MDijuuArPJv1vbp7K1x3f"
"Sit Next to Me","Foster The People","14aqr8yZODpQyuqhSxLMTV"
"Talk Too Much","COIN","7FX3ZWE70VRjsprg5oeECc"
"Midnight Movies","Saint Motel","3Sz51kDvFhngNDinn8WRb5"
"Good Morning","GROUPLOVE","1lbWbnWiEbAya5FlCzfsrq"
"I Don't Wanna Dance","COIN","4ouyODaV6ta62fN1i6jMCZ"
"Move","Saint Motel","4vuJuTLFomqItDrn482nzV"
"White Lies - EP Version","Max Frost","6dg4jncA9hbthBGFVo2djw"
"Die Young","Max Frost","7qKX7wI4RK7hMYwJg6zRDE"
"Let Me Down Easy","Max Frost","3b24MkRgBRlNoXOzQvLrKI"
"Nice and Slow - EP Version","Max Frost","49FF92uImAUfwgmoJMSwGQ"
"Suspended Animation - EP Version","Max Frost","3eSoUrWuYgzHEqtblPgL4N"
"White Lies - EP Version","Max Frost","6sS0cYdBJCjTW9pgitwsCk"
"Dive","Coast Modern","3ezHsjftL6BdBL0uHOMOrd"
"Run It Up","Coast Modern","6Aut4PduGOIldzdKdLUkgV"
"Guru","Coast Modern","7ygO2E3yfwZVYbzaPdGzed"
"The Way It Was","Coast Modern","0XoGin3sawtB2HmME0Ikn3"
"Animals","Coast Modern","11miTF6mWCpzFnf1m2VFVs"
"Comb My Hair","Coast Modern","4qMexbk0E09IISFzSRdrA7"
"Pockets Full Of No","Coast Modern","6qJctjtv84ecgjoMPMPUwk"
"Dive","Coast Modern","2QqaJDUOppTtjJLhTMNN5R"
"Guru","Coast Modern","2HMUgUyUJuaQuFLIcp1lmA"
"Tiny Umbrella","Coast Modern","2VrOrpMi5tyjs6sRYd5bPK"
"South","Hippo Campus","64TjzuxG5PJ7payjphrOC0"
"Bad Habits","The Federal Empire","3IMBsqHL48Eu4K3uvhRIok"
"Gold Watch (feat. James Lindsey)","House Ghost","72b14fcteuoXYR4QavQZwf"
"When I Get Older","Wild Party","4NOZKKJKMWhQCe5uyQNNG6"
"Suckers","Ra Ra Riot","7wmvvOuGtgOqRIdiCqfism"
"Water","Ra Ra Riot","1spp1NXsz4rHcVaJhhndKa"
"Same Dark Places","JR JR","5ee5mbFHo1WAZZTqBs6Hj7"
